backbone,seed,method,dataset,protocol,old_excel_A_bar,old_excel_A_B,old_excel_source_log,log_A_bar,log_A_B,canonical_log,selected_source,updated_excel_A_bar,updated_excel_A_B
OpenCLIP_LAION400M_ViTB16,1993,ZS-CLIP,Aircraft,B0-Inc10,26.61,17.16,logs/OpenCLIP_LAION400M_ViTB16/ZS-CLIP/queue/ZS-CLIP-LAION-400M-SEED_1993-Top5_10.out,26.618,17.19,logs/OpenCLIP_LAION400M_ViTB16/ZS-CLIP/aircraft_clip_0_10_1993.log,canonical .log,26.62,17.19
OpenCLIP_LAION400M_ViTB16,1993,L2P,Aircraft,B0-Inc10,48.78,30.12,logs/OpenCLIP_LAION400M_ViTB16/L2P/queue/L2P-LAION-400M-SEED_1993-A40.out,48.252,29.22,logs/OpenCLIP_LAION400M_ViTB16/L2P/aircraft_clip_0_10_1993.log,canonical .log,48.25,29.22
OpenCLIP_LAION400M_ViTB16,1993,DualPrompt,Aircraft,B0-Inc10,45.23,28.35,logs/OpenCLIP_LAION400M_ViTB16/DualPrompt/queue/DualPrompt-LAION-400M-SEED_1993-A40.out,43.238,26.13,logs/OpenCLIP_LAION400M_ViTB16/DualPrompt/aircraft_clip_0_10_1993.log,canonical .log,43.24,26.13
OpenCLIP_LAION400M_ViTB16,1993,CODA-Prompt,Aircraft,B0-Inc10,40.08,22.62,logs/OpenCLIP_LAION400M_ViTB16/CODA-Prompt/queue/CODA-Prompt-LAION-400M-SEED_1993-A40.out,39.882,22.14,logs/OpenCLIP_LAION400M_ViTB16/CODA-Prompt/aircraft_clip_0_10_1993.log,canonical .log,39.88,22.14
OpenCLIP_LAION400M_ViTB16,1993,RAPF,Aircraft,B0-Inc10,44.94,22.50,logs/OpenCLIP_LAION400M_ViTB16/RAPF/queue/RAPF-LAION-400M.out,44.956,22.80,logs/OpenCLIP_LAION400M_ViTB16/RAPF/aircraft_clip_0_10_1993.log,canonical .log,44.96,22.80
OpenCLIP_LAION400M_ViTB16,1993,ENGINE,Aircraft,B0-Inc10,69.64,58.51,logs/OpenCLIP_LAION400M_ViTB16/ENGINE/queue/ENGINE-LAION-400M.out,69.584,58.51,logs/OpenCLIP_LAION400M_ViTB16/ENGINE/aircraft_clip_0_10_1993.log,canonical .log,69.58,58.51
OpenCLIP_LAION400M_ViTB16,1993,CLG-CBM,Aircraft,B0-Inc10,65.76,55.33,logs/OpenCLIP_LAION400M_ViTB16/CLG-CBM/queue/clg_cbm-LAION-400M.out,65.879,55.96,logs/OpenCLIP_LAION400M_ViTB16/CLG-CBM/aircraft_clip_0_10_1993.log,canonical .log,65.88,55.96
OpenCLIP_LAION400M_ViTB16,1993,BOFA,Aircraft,B0-Inc10,70.85,60.37,logs/OpenCLIP_LAION400M_ViTB16/BOFA/queue/BOFA-LAION-400M.out,70.840,60.34,logs/OpenCLIP_LAION400M_ViTB16/BOFA/aircraft_clip_0_10_1993.log,canonical .log,70.84,60.34
OpenCLIP_LAION400M_ViTB16,1993,L2P,Cars,B0-Inc10,83.71,70.56,logs/OpenCLIP_LAION400M_ViTB16/L2P/queue/L2P-LAION-400M-SEED_1993-A40.out,81.343,68.48,logs/OpenCLIP_LAION400M_ViTB16/L2P/cars_clip_0_10_1993.log,canonical .log,81.34,68.48
OpenCLIP_LAION400M_ViTB16,1993,DualPrompt,Cars,B0-Inc10,82.17,70.95,logs/OpenCLIP_LAION400M_ViTB16/DualPrompt/queue/DualPrompt-LAION-400M-SEED_1993-A40.out,81.956,70.61,logs/OpenCLIP_LAION400M_ViTB16/DualPrompt/cars_clip_0_10_1993.log,canonical .log,81.96,70.61
