method,dataset,n,train_minutes_runs,train_minutes_mean,train_minutes_sample_variance,train_minutes_sample_std,inference_seconds_runs,inference_seconds_mean,inference_seconds_sample_variance,inference_seconds_sample_std,images_per_second_runs,images_per_second_mean,images_per_second_sample_variance,images_per_second_sample_std,train_peak_gib_runs,train_peak_gib_mean,train_peak_gib_sample_variance,train_peak_gib_sample_std,inference_peak_gib_runs,inference_peak_gib_mean,inference_peak_gib_sample_variance,inference_peak_gib_sample_std,peak_updated_M,final_extra_learned_M,auxiliary_state_MiB,extra_frozen_M,source
ZS-CLIP,Cars,3,0.004593|0.003313|0.003048,0.003651,0.00000068,0.000826,11.528960|11.283339|11.503596,11.438631,0.01824770,0.135084,354.151646|361.860980|354.932491,356.981706,18.00791868,4.243574,0.568523|0.568523|0.568523,0.568523,0.00000000,0.000000,1.037557|1.037557|1.037557,1.037557,0.00000000,0.000000,0.000000,0.000000,0.000,0.000000,Awesome-MMCL three complete runs
ZS-CLIP,Aircraft,3,0.003255|0.003060|0.002963,0.003093,0.00000002,0.000149,10.738629|10.036606|9.615701,10.130312,0.32182776,0.567299,310.374808|332.084367|346.620607,329.693261,332.72752693,18.240820,0.568523|0.568523|0.568523,0.568523,0.00000000,0.000000,1.037553|1.037553|1.037553,1.037553,0.00000000,0.000000,0.000000,0.000000,0.000,0.000000,Awesome-MMCL three complete runs
L2P,Cars,3,7.276632|7.295117|7.366885,7.312878,0.00227301,0.047676,21.949164|21.984606|21.741572,21.891781,0.01723609,0.131286,186.020753|185.720860|187.796911,186.512841,1.25910997,1.122101,2.852293|2.852837|2.852837,2.852656,0.00000010,0.000314,1.394613|1.394613|1.394613,1.394613,0.00000000,0.000000,0.094820,0.094820,0.000,86.192640,Awesome-MMCL three complete runs
L2P,Aircraft,3,11.612817|11.652571|11.579138,11.614842,0.00135117,0.036758,18.829332|18.436301|18.369397,18.545010,0.06174832,0.248492,177.011055|180.784635|181.443079,179.746256,5.71938065,2.391523,2.852908|2.852908|2.852908,2.852908,0.00000000,0.000000,1.394613|1.394613|1.394613,1.394613,0.00000000,0.000000,0.094820,0.094820,0.000,86.192640,Awesome-MMCL three complete runs
DualPrompt,Cars,3,6.463856|6.497061|6.496298,6.485738,0.00035928,0.018955,20.685971|20.585491|21.207870,20.826444,0.11163851,0.334123,197.380147|198.343579|192.522866,196.082198,9.73367901,3.119884,6.948075|6.948075|6.948075,6.948075,0.00000000,0.000000,1.247700|1.247700|1.247700,1.247700,0.00000000,0.000000,0.286820,0.286820,0.000,86.192640,Awesome-MMCL three complete runs
DualPrompt,Aircraft,3,10.454115|10.356057|10.359448,10.389873,0.00309808,0.055660,17.685395|17.403336|17.378807,17.489179,0.02902588,0.170370,188.460592|191.515006|191.785319,190.586972,3.40938765,1.846453,6.948075|6.948075|6.948075,6.948075,0.00000000,0.000000,1.247700|1.247700|1.247700,1.247700,0.00000000,0.000000,0.286820,0.286820,0.000,86.192640,Awesome-MMCL three complete runs
CODA-Prompt,Cars,3,7.803546|7.786273|7.755426,7.781748,0.00059426,0.024377,21.915580|21.687665|21.662058,21.755101,0.01947908,0.139567,186.305815|188.263696|188.486248,187.685253,1.43951952,1.199800,15.530156|15.530156|15.530156,15.530156,0.00000000,0.000000,0.970245|0.970245|0.970245,0.970245,0.00000000,0.000000,3.635300,3.635300,0.000,0.000000,Awesome-MMCL three complete runs
CODA-Prompt,Aircraft,3,12.582708|12.276765|12.693438,12.517637,0.04657980,0.215824,18.393616|18.221110|18.361650,18.325459,0.00842190,0.091771,181.204178|182.919700|181.519636,181.881171,0.83378507,0.913118,15.530156|15.530156|15.530156,15.530156,0.00000000,0.000000,0.970062|0.970062|0.970062,0.970062,0.00000000,0.000000,3.635300,3.635300,0.000,0.000000,Awesome-MMCL three complete runs
SimpleCIL,Cars,3,0.370095|0.393641|0.379347,0.381028,0.00014073,0.011863,10.933763|10.708292|10.649319,10.763792,0.02253726,0.150124,373.430432|381.293291|383.404788,379.376170,27.62846143,5.256278,0.920632|0.920632|0.920632,0.920632,0.00000000,0.000000,1.037235|1.037235|1.037235,1.037235,0.00000000,0.000000,0.000000,0.000000,0.195,0.000000,Awesome-MMCL three complete runs
SimpleCIL,Aircraft,3,0.726482|0.717193|0.626793,0.690156,0.00303271,0.055070,11.536880|9.609571|9.727095,10.291182,1.16727574,1.080405,288.899595|346.841715|342.651108,326.130806,1044.01259732,32.311184,0.920632|0.920632|0.920632,0.920632,0.00000000,0.000000,1.037235|1.037235|1.037235,1.037235,0.00000000,0.000000,0.000000,0.000000,0.195,0.000000,Awesome-MMCL three complete runs
RAPF,Cars,3,4.622592|4.553975|4.618821,4.598463,0.00148791,0.038573,13.889430|13.690774|13.512005,13.697403,0.03564529,0.188800,293.964548|298.230038|302.175724,298.123436,16.86437548,4.106626,7.172938|7.172938|7.172938,7.172938,0.00000000,0.000000,4.566503|4.566503|4.566503,4.566503,0.00000000,0.000000,0.262144,0.262144,100.455,0.000000,Awesome-MMCL three complete runs
RAPF,Aircraft,3,7.765097|7.701534|7.738664,7.735098,0.00101961,0.031931,11.609343|11.551143|11.351844,11.504110,0.01823542,0.135039,287.096357|288.542874|293.608676,289.749302,11.69417530,3.419675,7.172939|7.172939|7.172939,7.172939,0.00000000,0.000000,4.566503|4.566503|4.566503,4.566503,0.00000000,0.000000,0.262144,0.262144,100.455,0.000000,Awesome-MMCL three complete runs
ENGINE,Cars,3,7.332704|7.278025|7.212224,7.274318,0.00363918,0.060326,144.758888|143.356323|142.564803,143.560005,1.23461683,1.111133,28.205522|28.481478|28.639607,28.442203,0.04826449,0.219692,1.111167|1.111167|1.111167,1.111167,0.00000000,0.000000,2.894066|2.894066|2.894066,2.894066,0.00000000,0.000000,0.525312,5.253120,3.032,149.620737,Awesome-MMCL three complete runs
ENGINE,Aircraft,3,8.976100|9.017252|8.918612,8.970655,0.00245468,0.049545,119.440005|115.700759|115.323350,116.821372,5.17854189,2.275641,27.905223|28.807071|28.901346,28.537880,0.30241294,0.549921,1.074299|1.074299|1.074299,1.074299,0.00000000,0.000000,2.894063|2.894063|2.894063,2.894063,0.00000000,0.000000,0.525312,5.253120,3.032,149.620737,Awesome-MMCL three complete runs
CLG-CBM,Cars,3,27.502140|28.284757|28.268437,28.018445,0.19999428,0.447207,11.090934|10.812825|10.820707,10.908155,0.02507155,0.158340,368.138523|377.607144|377.332100,374.359256,29.04205270,5.389068,1.049381|1.049381|1.049381,1.049381,0.00000000,0.000000,1.156858|1.156858|1.156858,1.156858,0.00000000,0.000000,0.612000,0.612000,110.997,0.000000,Awesome-MMCL three complete runs
CLG-CBM,Aircraft,3,32.157882|30.167119|31.719972,31.348325,1.09437604,1.046124,9.824089|9.392198|9.554259,9.590182,0.04760038,0.218175,339.268099|354.869023|348.849665,347.662262,61.90464778,7.867951,1.049410|1.049410|1.049410,1.049410,0.00000000,0.000000,1.156858|1.156858|1.156858,1.156858,0.00000000,0.000000,0.612000,0.612000,110.997,0.000000,Awesome-MMCL three complete runs
BOFA,Cars,3,7.441429|7.316978|7.212342,7.323583,0.01315296,0.114686,20.282474|19.706402|19.852384,19.947086,0.08969122,0.299485,201.306806|207.191556|205.667997,204.722120,9.32858368,3.054273,1.732278|1.732278|1.732278,1.732278,0.00000000,0.000000,1.125569|1.125569|1.125569,1.125569,0.00000000,0.000000,0.400906,0.000000,70.457,0.000000,Awesome-MMCL three complete runs
