方法,数据集,训练时间均值(min),训练时间标准差(min),训练时间样本方差(min^2),推理时间均值(s),推理时间标准差(s),推理时间样本方差(s^2),训练峰值显存均值(GiB),训练峰值显存标准差(GiB),训练峰值显存样本方差(GiB^2),推理峰值显存均值(GiB),推理峰值显存标准差(GiB),推理峰值显存样本方差(GiB^2),峰值更新参数(M),最终额外学习参数(M),辅助状态(MiB),额外冻结参数(M)
ZS-CLIP,Cars,0.00,0.00,0.00,11.44,0.14,0.02,0.57,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00
ZS-CLIP,Aircraft,0.00,0.00,0.00,10.13,0.57,0.32,0.57,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00
L2P,Cars,7.31,0.05,0.00,21.89,0.13,0.02,2.85,0.00,0.00,1.39,0.00,0.00,0.09,0.09,0.00,86.19
L2P,Aircraft,11.61,0.04,0.00,18.55,0.25,0.06,2.85,0.00,0.00,1.39,0.00,0.00,0.09,0.09,0.00,86.19
DualPrompt,Cars,6.49,0.02,0.00,20.83,0.33,0.11,6.95,0.00,0.00,1.25,0.00,0.00,0.29,0.29,0.00,86.19
DualPrompt,Aircraft,10.39,0.06,0.00,17.49,0.17,0.03,6.95,0.00,0.00,1.25,0.00,0.00,0.29,0.29,0.00,86.19
CODA-Prompt,Cars,7.78,0.02,0.00,21.76,0.14,0.02,15.53,0.00,0.00,0.97,0.00,0.00,3.64,3.64,0.00,0.00
CODA-Prompt,Aircraft,12.52,0.22,0.05,18.33,0.09,0.01,15.53,0.00,0.00,0.97,0.00,0.00,3.64,3.64,0.00,0.00
SimpleCIL,Cars,0.38,0.01,0.00,10.76,0.15,0.02,0.92,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.20,0.00
SimpleCIL,Aircraft,0.69,0.06,0.00,10.29,1.08,1.17,0.92,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.20,0.00
RAPF,Cars,4.60,0.04,0.00,13.70,0.19,0.04,7.17,0.00,0.00,4.57,0.00,0.00,0.26,0.26,100.45,0.00
RAPF,Aircraft,7.74,0.03,0.00,11.50,0.14,0.02,7.17,0.00,0.00,4.57,0.00,0.00,0.26,0.26,100.45,0.00
ENGINE,Cars,7.27,0.06,0.00,143.56,1.11,1.23,1.11,0.00,0.00,2.89,0.00,0.00,0.53,5.25,3.03,149.62
ENGINE,Aircraft,8.97,0.05,0.00,116.82,2.28,5.18,1.07,0.00,0.00,2.89,0.00,0.00,0.53,5.25,3.03,149.62
CLG-CBM,Cars,28.02,0.45,0.20,10.91,0.16,0.03,1.05,0.00,0.00,1.16,0.00,0.00,0.61,0.61,111.00,0.00
CLG-CBM,Aircraft,31.35,1.05,1.09,9.59,0.22,0.05,1.05,0.00,0.00,1.16,0.00,0.00,0.61,0.61,111.00,0.00
BOFA,Cars,7.32,0.11,0.01,19.95,0.30,0.09,1.73,0.00,0.00,1.13,0.00,0.00,0.40,0.00,70.46,0.00
BOFA,Aircraft,11.76,0.19,0.04,16.83,0.19,0.04,1.88,0.00,0.00,1.12,0.00,0.00,0.40,0.00,70.46,0.00
SAGLA,Cars,1.52,0.06,0.00,11.01,0.08,0.01,0.80,0.00,0.00,1.07,0.00,0.00,0.00,0.00,3.03,0.00
SAGLA,Aircraft,2.46,0.16,0.03,9.20,0.00,0.00,0.80,0.00,0.00,1.07,0.00,0.00,0.00,0.00,3.03,0.00
SAGLA-C (Top-10),Cars,1.52,0.06,0.00,11.11,0.10,0.01,0.80,0.00,0.00,1.07,0.00,0.00,0.00,0.00,3.03,0.00
SAGLA-C (Top-10),Aircraft,2.46,0.17,0.03,9.13,0.03,0.00,0.80,0.00,0.00,1.07,0.00,0.00,0.00,0.00,3.03,0.00
